"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2021,6,1,554,600,-6,732,747,-15,"AA",332,"N807AW","ATL","MIA",81,594,6,0,2021-06-01 06:00:00
2021,6,1,555,600,-5,741,759,-18,"F9",464,"N375FR","ATL","MIA",83,594,6,0,2021-06-01 06:00:00
2021,6,1,555,600,-5,727,727,0,"NK",92,"N612NK","ATL","AUS",129,813,6,0,2021-06-01 06:00:00
2021,6,1,555,600,-5,747,800,-13,"YX",1213,"N422YX","ATL","PHL",92,666,6,0,2021-06-01 06:00:00
2021,6,1,605,610,-5,654,721,-27,"AA",964,"N863NN","ATL","ORD",87,606,6,10,2021-06-01 06:00:00
2021,6,1,609,615,-6,734,740,-6,"WN",22,"N435WN","ATL","MCO",60,404,6,15,2021-06-01 06:00:00
2021,6,1,609,605,4,747,756,-9,"NK",572,"N671NK","ATL","FLL",81,581,6,5,2021-06-01 06:00:00
2021,6,1,616,605,11,723,720,3,"WN",17,"N936WN","ATL","DEN",171,1199,6,5,2021-06-01 06:00:00
2021,6,1,620,620,0,736,745,-9,"WN",612,"N8545V","ATL","LAS",227,1747,6,20,2021-06-01 06:00:00
2021,6,1,620,620,0,704,722,-18,"NK",183,"N692NK","ATL","ORD",85,606,6,20,2021-06-01 06:00:00
2021,6,1,621,625,-4,756,820,-24,"WN",563,"N237WN","ATL","FLL",82,581,6,25,2021-06-01 06:00:00
2021,6,1,625,630,-5,800,820,-20,"B6",93,"N281JB","ATL","FLL",82,581,6,30,2021-06-01 06:00:00
2021,6,1,629,630,-1,728,740,-12,"WN",679,"N950WN","ATL","HOU",107,696,6,30,2021-06-01 06:00:00
2021,6,1,632,635,-3,728,758,-30,"AA",540,"N582UW","ATL","CLT",38,226,6,35,2021-06-01 06:00:00
2021,6,1,637,640,-3,733,755,-22,"WN",204,"N8650F","ATL","DAL",103,721,6,40,2021-06-01 06:00:00
