"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N101DQ",2020,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N101HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N102DN",2020,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N102HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N103DY",2020,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N103HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N104DN",NA,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N104UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N105DX",2020,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N105HQ",2007,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N106DN",2020,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N106HQ",2007,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N107DN",2020,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N107HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N108DN",NA,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N108HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N108UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N109HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N110DX",2021,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N110HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N110SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N110UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N111DC",2021,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N111HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N112DN",NA,"Fixed wing multi engine","AIRBUS SAS","A321-211",2,222,0,"Turbo-fan"
"N112HQ",2007,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N112US",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N113DX",NA,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N113HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N114DN",2021,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N114HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N115DN",2021,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N115HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N116DN",2021,"Fixed wing multi engine","AIRBUS SAS","A321-211",2,222,0,"Turbo-fan"
"N116HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N116SY",2014,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N117DX",2021,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N117HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N117UW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N118DY",2021,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N118HQ",2007,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N118NN",2014,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-231",2,379,0,"Turbo-fan"
"N118US",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N119DN",2021,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N119HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N119US",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,0,"Turbo-fan"
"N1200K",1998,"Fixed wing multi engine","BOEING","767-332",2,330,0,"Turbo-fan"
"N1201P",1998,"Fixed wing multi engine","BOEING","767-332",2,330,0,"Turbo-fan"
"N12028",2015,"Fixed wing multi engine","AIRBUS","A319-115",2,147,0,"Turbo-fan"
"N120DN",2021,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N120HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N121AN",2014,"Fixed wing multi engine","AIRBUS","A321-231",2,379,0,"Turbo-fan"
"N121DZ",2021,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N121HQ",2007,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
