"origin","year","month","day","hour","temp","dewp","humid","wind_dir","wind_speed","wind_gust","precip","pressure","visib","time_hour"
"IAH",2020,1,1,0,NA,NA,NA,0,0,0,NA,NA,9,2020-01-01 00:00:00
"IAH",2020,1,1,1,NA,NA,NA,0,0,0,NA,NA,10,2020-01-01 01:00:00
"IAH",2020,1,1,2,NA,NA,NA,0,0,0,NA,NA,10,2020-01-01 02:00:00
"IAH",2020,1,1,3,NA,NA,NA,0,0,0,NA,NA,10,2020-01-01 03:00:00
"IAH",2020,1,1,4,NA,NA,NA,360,2.30156,2.6485892168,NA,NA,10,2020-01-01 04:00:00
"IAH",2020,1,1,5,NA,NA,NA,0,0,0,NA,NA,10,2020-01-01 05:00:00
"IAH",2020,1,1,6,NA,NA,NA,0,0,0,NA,NA,10,2020-01-01 06:00:00
"IAH",2020,1,1,7,NA,NA,NA,0,0,0,NA,NA,8,2020-01-01 07:00:00
"IAH",2020,1,1,8,NA,NA,NA,0,0,0,NA,NA,7,2020-01-01 08:00:00
"IAH",2020,1,1,9,NA,NA,NA,0,0,0,NA,NA,7,2020-01-01 09:00:00
"IAH",2020,1,1,10,NA,NA,NA,0,0,0,NA,NA,4,2020-01-01 10:00:00
"IAH",2020,1,1,11,NA,NA,NA,0,0,0,NA,NA,3.5,2020-01-01 11:00:00
"IAH",2020,1,1,12,NA,NA,NA,0,0,0,NA,NA,5,2020-01-01 12:00:00
"IAH",2020,1,1,13,NA,NA,NA,40,2.30156,2.6485892168,NA,NA,5,2020-01-01 13:00:00
"IAH",2020,1,1,14,NA,NA,NA,120,9.20624,10.5943568672,NA,NA,3.5,2020-01-01 14:00:00
"IAH",2020,1,1,15,NA,NA,NA,0,0,0,NA,NA,6,2020-01-01 15:00:00
"IAH",2020,1,1,16,NA,NA,NA,130,8.05546,9.2700622588,NA,NA,8,2020-01-01 16:00:00
"IAH",2020,1,1,17,NA,NA,NA,110,8.05546,9.2700622588,NA,NA,10,2020-01-01 17:00:00
"IAH",2020,1,1,18,NA,NA,NA,150,8.05546,9.2700622588,NA,NA,10,2020-01-01 18:00:00
"IAH",2020,1,1,19,NA,NA,NA,140,12.65858,14.5672406924,NA,NA,10,2020-01-01 19:00:00
"IAH",2020,1,1,20,NA,NA,NA,120,5.7539,6.621473042,NA,NA,10,2020-01-01 20:00:00
"IAH",2020,1,1,21,NA,NA,NA,90,5.7539,6.621473042,NA,NA,10,2020-01-01 21:00:00
"IAH",2020,1,1,22,NA,NA,NA,120,12.65858,14.5672406924,NA,NA,10,2020-01-01 22:00:00
"IAH",2020,1,1,23,NA,NA,NA,130,14.96014,17.2158299092,NA,NA,10,2020-01-01 23:00:00
"IAH",2020,1,2,0,NA,NA,NA,NA,12.65858,14.5672406924,NA,NA,10,2020-01-02 00:00:00
"IAH",2020,1,2,1,NA,NA,NA,130,14.96014,17.2158299092,NA,NA,10,2020-01-02 01:00:00
"IAH",2020,1,2,2,NA,NA,NA,120,9.20624,10.5943568672,0.01,NA,9,2020-01-02 02:00:00
"IAH",2020,1,2,3,NA,NA,NA,150,10.35702,11.9186514756,0.01,NA,7,2020-01-02 03:00:00
"IAH",2020,1,2,4,NA,NA,NA,160,8.05546,9.2700622588,0.01,NA,7,2020-01-02 04:00:00
"IAH",2020,1,2,5,NA,NA,NA,140,14.96014,17.2158299092,NA,NA,7,2020-01-02 05:00:00
"IAH",2020,1,2,6,NA,NA,NA,190,2.30156,2.6485892168,0.01,NA,4,2020-01-02 06:00:00
"IAH",2020,1,2,7,NA,NA,NA,150,5.7539,6.621473042,NA,NA,5,2020-01-02 07:00:00
"IAH",2020,1,2,8,NA,NA,NA,140,2.30156,2.6485892168,NA,NA,3,2020-01-02 08:00:00
"IAH",2020,1,2,9,NA,NA,NA,0,0,0,NA,NA,0.75,2020-01-02 09:00:00
"IAH",2020,1,2,10,NA,NA,NA,50,5.7539,6.621473042,NA,NA,0.13,2020-01-02 10:00:00
"IAH",2020,1,2,11,NA,NA,NA,100,5.7539,6.621473042,NA,NA,0.13,2020-01-02 11:00:00
"IAH",2020,1,2,12,NA,NA,NA,90,4.60312,5.2971784336,NA,NA,0.5,2020-01-02 12:00:00
"IAH",2020,1,2,13,NA,NA,NA,100,5.7539,6.621473042,NA,NA,0.24,2020-01-02 13:00:00
"IAH",2020,1,2,14,NA,NA,NA,0,0,0,NA,NA,0.13,2020-01-02 14:00:00
"IAH",2020,1,2,15,NA,NA,NA,0,0,0,0.01,NA,0.5,2020-01-02 15:00:00
"IAH",2020,1,2,16,NA,NA,NA,100,5.7539,6.621473042,0.02,NA,1,2020-01-02 16:00:00
"IAH",2020,1,2,17,NA,NA,NA,130,8.05546,9.2700622588,NA,NA,1.5,2020-01-02 17:00:00
"IAH",2020,1,2,18,NA,NA,NA,0,0,0,NA,NA,1.5,2020-01-02 18:00:00
"IAH",2020,1,2,19,NA,NA,NA,110,2.30156,2.6485892168,NA,NA,1.5,2020-01-02 19:00:00
"IAH",2020,1,2,20,NA,NA,NA,0,0,0,NA,NA,1.5,2020-01-02 20:00:00
"IAH",2020,1,2,21,NA,NA,NA,0,0,0,NA,NA,2.5,2020-01-02 21:00:00
"IAH",2020,1,2,22,NA,NA,NA,280,4.60312,5.2971784336,0.01,NA,2.5,2020-01-02 22:00:00
"IAH",2020,1,2,23,NA,NA,NA,0,0,0,NA,NA,6,2020-01-02 23:00:00
"IAH",2020,1,3,0,NA,NA,NA,0,0,0,NA,NA,5,2020-01-03 00:00:00
"IAH",2020,1,3,1,NA,NA,NA,140,10.35702,11.9186514756,NA,NA,9,2020-01-03 01:00:00
"IAH",2020,1,3,2,NA,NA,NA,160,5.7539,6.621473042,NA,NA,10,2020-01-03 02:00:00
"IAH",2020,1,3,3,NA,NA,NA,210,2.30156,2.6485892168,NA,NA,9,2020-01-03 03:00:00
"IAH",2020,1,3,4,NA,NA,NA,180,4.60312,5.2971784336,NA,NA,10,2020-01-03 04:00:00
"IAH",2020,1,3,5,NA,NA,NA,190,2.30156,2.6485892168,NA,NA,10,2020-01-03 05:00:00
"IAH",2020,1,3,6,NA,NA,NA,190,4.60312,5.2971784336,NA,NA,10,2020-01-03 06:00:00
"IAH",2020,1,3,7,NA,NA,NA,0,0,0,NA,NA,10,2020-01-03 07:00:00
"IAH",2020,1,3,8,NA,NA,NA,0,0,0,NA,NA,7,2020-01-03 08:00:00
"IAH",2020,1,3,9,NA,NA,NA,0,0,0,NA,NA,6,2020-01-03 09:00:00
"IAH",2020,1,3,10,NA,NA,NA,60,2.30156,2.6485892168,NA,NA,6,2020-01-03 10:00:00
"IAH",2020,1,3,11,NA,NA,NA,0,0,0,NA,NA,6,2020-01-03 11:00:00
"IAH",2020,1,3,12,NA,NA,NA,180,2.30156,2.6485892168,NA,NA,6,2020-01-03 12:00:00
"IAH",2020,1,3,13,NA,NA,NA,160,4.60312,5.2971784336,NA,NA,3,2020-01-03 13:00:00
"IAH",2020,1,3,14,NA,NA,NA,250,2.30156,2.6485892168,NA,NA,4,2020-01-03 14:00:00
"IAH",2020,1,3,15,NA,NA,NA,0,0,0,NA,NA,10,2020-01-03 15:00:00
"IAH",2020,1,3,16,NA,NA,NA,310,4.60312,5.2971784336,NA,NA,10,2020-01-03 16:00:00
"IAH",2020,1,3,17,NA,NA,NA,300,5.7539,6.621473042,NA,NA,10,2020-01-03 17:00:00
"IAH",2020,1,3,18,NA,NA,NA,280,8.05546,9.2700622588,NA,NA,10,2020-01-03 18:00:00
"IAH",2020,1,3,19,NA,NA,NA,260,8.05546,9.2700622588,NA,NA,10,2020-01-03 19:00:00
"IAH",2020,1,3,20,NA,NA,NA,320,12.65858,14.5672406924,NA,NA,10,2020-01-03 20:00:00
"IAH",2020,1,3,21,NA,NA,NA,300,12.65858,14.5672406924,NA,NA,10,2020-01-03 21:00:00
"IAH",2020,1,3,22,NA,NA,NA,300,12.65858,14.5672406924,NA,NA,9,2020-01-03 22:00:00
"IAH",2020,1,3,23,NA,NA,NA,320,12.65858,14.5672406924,NA,NA,9,2020-01-03 23:00:00
"IAH",2020,1,4,0,NA,NA,NA,320,5.7539,6.621473042,NA,NA,10,2020-01-04 00:00:00
"IAH",2020,1,4,1,NA,NA,NA,0,0,0,NA,NA,9,2020-01-04 01:00:00
"IAH",2020,1,4,2,NA,NA,NA,270,2.30156,2.6485892168,NA,NA,9,2020-01-04 02:00:00
"IAH",2020,1,4,3,NA,NA,NA,280,5.7539,6.621473042,NA,NA,10,2020-01-04 03:00:00
"IAH",2020,1,4,4,NA,NA,NA,290,8.05546,9.2700622588,NA,NA,10,2020-01-04 04:00:00
"IAH",2020,1,4,5,NA,NA,NA,310,11.5078,13.242946084,NA,NA,10,2020-01-04 05:00:00
"IAH",2020,1,4,6,NA,NA,NA,300,8.05546,9.2700622588,NA,NA,10,2020-01-04 06:00:00
