year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2020,1,1,601.0,600,1.0,850.0,901,-11.0,DL,660,N329NW,DFW,ATL,83.0,731,6,0,2020-01-01 06:00:00
2020,1,1,630.0,630,0.0,905.0,930,-25.0,WN,1935,N7734H,DAL,ATL,81.0,721,6,30,2020-01-01 06:00:00
2020,1,1,652.0,700,-8.0,932.0,1004,-32.0,DL,853,N957AT,DAL,ATL,85.0,721,7,0,2020-01-01 07:00:00
2020,1,1,654.0,700,-6.0,951.0,1006,-15.0,DL,684,N337DN,DFW,ATL,86.0,731,7,0,2020-01-01 07:00:00
2020,1,1,705.0,710,-5.0,946.0,1020,-34.0,NK,379,N656NK,DFW,ATL,81.0,731,7,10,2020-01-01 07:00:00
2020,1,1,800.0,805,-5.0,1039.0,1106,-27.0,DL,589,N397DN,DFW,ATL,85.0,731,8,5,2020-01-01 08:00:00
2020,1,1,833.0,839,-6.0,1134.0,1143,-9.0,AA,466,N827AW,DFW,ATL,84.0,731,8,39,2020-01-01 08:00:00
2020,1,1,1010.0,935,35.0,1252.0,1240,12.0,WN,629,N8571Z,DAL,ATL,85.0,721,9,35,2020-01-01 09:00:00
2020,1,1,1018.0,1020,-2.0,1326.0,1323,3.0,AA,441,N921AN,DFW,ATL,91.0,731,10,20,2020-01-01 10:00:00
2020,1,1,1118.0,1115,3.0,1405.0,1420,-15.0,DL,802,N379DN,DFW,ATL,88.0,731,11,15,2020-01-01 11:00:00
2020,1,1,1208.0,1120,48.0,1452.0,1420,32.0,DL,285,N993AT,DAL,ATL,86.0,721,11,20,2020-01-01 11:00:00
2020,1,1,1246.0,1236,10.0,1527.0,1543,-16.0,AA,792,N957NN,DFW,ATL,88.0,731,12,36,2020-01-01 12:00:00
2020,1,1,1425.0,1355,30.0,1704.0,1700,4.0,WN,1897,N7888A,DAL,ATL,85.0,721,13,55,2020-01-01 13:00:00
2020,1,1,1520.0,1520,0.0,1813.0,1824,-11.0,DL,417,N392DN,DFW,ATL,86.0,731,15,20,2020-01-01 15:00:00
2020,1,1,1606.0,1610,-4.0,1853.0,1916,-23.0,AA,130,N969NN,DFW,ATL,89.0,731,16,10,2020-01-01 16:00:00
2020,1,1,1703.0,1653,10.0,1950.0,2003,-13.0,AA,850,N931NN,DFW,ATL,86.0,731,16,53,2020-01-01 16:00:00
2020,1,1,1717.0,1723,-6.0,2003.0,2024,-21.0,DL,752,N608AT,DAL,ATL,87.0,721,17,23,2020-01-01 17:00:00
2020,1,1,1721.0,1729,-8.0,2014.0,2030,-16.0,DL,26,N318DX,DFW,ATL,87.0,731,17,29,2020-01-01 17:00:00
2020,1,1,1824.0,1820,4.0,2100.0,2115,-15.0,WN,1833,N958WN,DAL,ATL,83.0,721,18,20,2020-01-01 18:00:00
2020,1,1,1847.0,1852,-5.0,2137.0,2203,-26.0,AA,705,N909AN,DFW,ATL,89.0,731,18,52,2020-01-01 18:00:00
2020,1,1,2145.0,2049,56.0,35.0,2358,37.0,AA,1001,N137AA,DFW,ATL,88.0,731,20,49,2020-01-01 20:00:00
2020,1,1,2156.0,2155,1.0,38.0,50,-12.0,WN,1890,N552WN,DAL,ATL,85.0,721,21,55,2020-01-01 21:00:00
2020,1,2,558.0,600,-2.0,902.0,901,1.0,DL,660,N347NW,DFW,ATL,87.0,731,6,0,2020-01-02 06:00:00
2020,1,2,604.0,605,-1.0,856.0,905,-9.0,WN,635,N8655D,DAL,ATL,92.0,721,6,5,2020-01-02 06:00:00
2020,1,2,643.0,645,-2.0,949.0,952,-3.0,NK,75,N625NK,DFW,ATL,92.0,731,6,45,2020-01-02 06:00:00
2020,1,2,653.0,700,-7.0,940.0,1004,-24.0,DL,853,N923AT,DAL,ATL,86.0,721,7,0,2020-01-02 07:00:00
2020,1,2,701.0,700,1.0,950.0,1006,-16.0,DL,684,N364DX,DFW,ATL,87.0,731,7,0,2020-01-02 07:00:00
2020,1,2,706.0,709,-3.0,956.0,1018,-22.0,AA,994,N154AA,DFW,ATL,88.0,731,7,9,2020-01-02 07:00:00
2020,1,2,809.0,805,4.0,1108.0,1109,-1.0,DL,589,N922DX,DFW,ATL,100.0,731,8,5,2020-01-02 08:00:00
2020,1,2,841.0,839,2.0,1140.0,1143,-3.0,AA,466,N831AW,DFW,ATL,92.0,731,8,39,2020-01-02 08:00:00
2020,1,2,921.0,915,6.0,1204.0,1220,-16.0,WN,905,N7743B,DAL,ATL,86.0,721,9,15,2020-01-02 09:00:00
2020,1,2,947.0,945,2.0,1232.0,1242,-10.0,DL,417,N348DN,DFW,ATL,88.0,731,9,45,2020-01-02 09:00:00
2020,1,2,1015.0,1020,-5.0,1310.0,1323,-13.0,AA,441,N918AN,DFW,ATL,88.0,731,10,20,2020-01-02 10:00:00
2020,1,2,1103.0,1105,-2.0,1401.0,1411,-10.0,DL,802,N312US,DFW,ATL,91.0,731,11,5,2020-01-02 11:00:00
2020,1,2,1124.0,1120,4.0,1425.0,1420,5.0,DL,285,N988AT,DAL,ATL,89.0,721,11,20,2020-01-02 11:00:00
2020,1,2,1232.0,1236,-4.0,1531.0,1543,-12.0,AA,792,N916NN,DFW,ATL,89.0,731,12,36,2020-01-02 12:00:00
2020,1,2,1326.0,1308,18.0,1621.0,1604,17.0,DL,775,N368NW,DFW,ATL,91.0,731,13,8,2020-01-02 13:00:00
2020,1,2,1327.0,1335,-8.0,1616.0,1640,-24.0,WN,901,N213WN,DAL,ATL,89.0,721,13,35,2020-01-02 13:00:00
2020,1,2,1455.0,1459,-4.0,1749.0,1759,-10.0,DL,286,N924AT,DAL,ATL,89.0,721,14,59,2020-01-02 14:00:00
2020,1,2,1517.0,1520,-3.0,1815.0,1824,-9.0,DL,345,N366DX,DFW,ATL,94.0,731,15,20,2020-01-02 15:00:00
2020,1,2,1610.0,1540,30.0,1911.0,1843,28.0,AA,130,N985NN,DFW,ATL,94.0,731,15,40,2020-01-02 15:00:00
2020,1,2,1655.0,1659,-4.0,1945.0,2009,-24.0,AA,850,N932AN,DFW,ATL,88.0,731,16,59,2020-01-02 16:00:00
2020,1,2,1719.0,1712,7.0,2018.0,2014,4.0,DL,298,N988AT,DAL,ATL,95.0,721,17,12,2020-01-02 17:00:00
2020,1,2,1719.0,1625,54.0,2016.0,1930,46.0,WN,402,N7745A,DAL,ATL,94.0,721,16,25,2020-01-02 16:00:00
2020,1,2,1721.0,1729,-8.0,2026.0,2030,-4.0,DL,26,N363DN,DFW,ATL,95.0,731,17,29,2020-01-02 17:00:00
2020,1,2,1822.0,1820,2.0,2119.0,2115,4.0,WN,778,N225WN,DAL,ATL,90.0,721,18,20,2020-01-02 18:00:00
2020,1,2,1848.0,1852,-4.0,2152.0,2203,-11.0,AA,705,N874NN,DFW,ATL,90.0,731,18,52,2020-01-02 18:00:00
2020,1,2,1923.0,1905,18.0,2220.0,2212,8.0,DL,642,N368NW,DFW,ATL,87.0,731,19,5,2020-01-02 19:00:00
