"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour","flight_path"
2020,1,1,601,600,1,850,901,-11,"DL",660,"N329NW","DFW","ATL",83,731,6,0,2020-01-01 06:00:00,"DFW_ATL"
2020,1,1,630,630,0,905,930,-25,"WN",1935,"N7734H","DAL","ATL",81,721,6,30,2020-01-01 06:00:00,"DAL_ATL"
2020,1,1,652,700,-8,932,1004,-32,"DL",853,"N957AT","DAL","ATL",85,721,7,0,2020-01-01 07:00:00,"DAL_ATL"
2020,1,1,654,700,-6,951,1006,-15,"DL",684,"N337DN","DFW","ATL",86,731,7,0,2020-01-01 07:00:00,"DFW_ATL"
2020,1,1,705,710,-5,946,1020,-34,"NK",379,"N656NK","DFW","ATL",81,731,7,10,2020-01-01 07:00:00,"DFW_ATL"
2020,1,1,800,805,-5,1039,1106,-27,"DL",589,"N397DN","DFW","ATL",85,731,8,5,2020-01-01 08:00:00,"DFW_ATL"
2020,1,1,833,839,-6,1134,1143,-9,"AA",466,"N827AW","DFW","ATL",84,731,8,39,2020-01-01 08:00:00,"DFW_ATL"
2020,1,1,1010,935,35,1252,1240,12,"WN",629,"N8571Z","DAL","ATL",85,721,9,35,2020-01-01 09:00:00,"DAL_ATL"
2020,1,1,1018,1020,-2,1326,1323,3,"AA",441,"N921AN","DFW","ATL",91,731,10,20,2020-01-01 10:00:00,"DFW_ATL"
2020,1,1,1118,1115,3,1405,1420,-15,"DL",802,"N379DN","DFW","ATL",88,731,11,15,2020-01-01 11:00:00,"DFW_ATL"
2020,1,1,1208,1120,48,1452,1420,32,"DL",285,"N993AT","DAL","ATL",86,721,11,20,2020-01-01 11:00:00,"DAL_ATL"
2020,1,1,1246,1236,10,1527,1543,-16,"AA",792,"N957NN","DFW","ATL",88,731,12,36,2020-01-01 12:00:00,"DFW_ATL"
2020,1,1,1425,1355,30,1704,1700,4,"WN",1897,"N7888A","DAL","ATL",85,721,13,55,2020-01-01 13:00:00,"DAL_ATL"
2020,1,1,1520,1520,0,1813,1824,-11,"DL",417,"N392DN","DFW","ATL",86,731,15,20,2020-01-01 15:00:00,"DFW_ATL"
2020,1,1,1606,1610,-4,1853,1916,-23,"AA",130,"N969NN","DFW","ATL",89,731,16,10,2020-01-01 16:00:00,"DFW_ATL"
2020,1,1,1703,1653,10,1950,2003,-13,"AA",850,"N931NN","DFW","ATL",86,731,16,53,2020-01-01 16:00:00,"DFW_ATL"
2020,1,1,1717,1723,-6,2003,2024,-21,"DL",752,"N608AT","DAL","ATL",87,721,17,23,2020-01-01 17:00:00,"DAL_ATL"
2020,1,1,1721,1729,-8,2014,2030,-16,"DL",26,"N318DX","DFW","ATL",87,731,17,29,2020-01-01 17:00:00,"DFW_ATL"
2020,1,1,1824,1820,4,2100,2115,-15,"WN",1833,"N958WN","DAL","ATL",83,721,18,20,2020-01-01 18:00:00,"DAL_ATL"
2020,1,1,1847,1852,-5,2137,2203,-26,"AA",705,"N909AN","DFW","ATL",89,731,18,52,2020-01-01 18:00:00,"DFW_ATL"
2020,1,1,2145,2049,56,35,2358,37,"AA",1001,"N137AA","DFW","ATL",88,731,20,49,2020-01-01 20:00:00,"DFW_ATL"
2020,1,1,2156,2155,1,38,50,-12,"WN",1890,"N552WN","DAL","ATL",85,721,21,55,2020-01-01 21:00:00,"DAL_ATL"
2020,1,2,558,600,-2,902,901,1,"DL",660,"N347NW","DFW","ATL",87,731,6,0,2020-01-02 06:00:00,"DFW_ATL"
2020,1,2,604,605,-1,856,905,-9,"WN",635,"N8655D","DAL","ATL",92,721,6,5,2020-01-02 06:00:00,"DAL_ATL"
2020,1,2,643,645,-2,949,952,-3,"NK",75,"N625NK","DFW","ATL",92,731,6,45,2020-01-02 06:00:00,"DFW_ATL"
2020,1,2,653,700,-7,940,1004,-24,"DL",853,"N923AT","DAL","ATL",86,721,7,0,2020-01-02 07:00:00,"DAL_ATL"
2020,1,2,701,700,1,950,1006,-16,"DL",684,"N364DX","DFW","ATL",87,731,7,0,2020-01-02 07:00:00,"DFW_ATL"
2020,1,2,706,709,-3,956,1018,-22,"AA",994,"N154AA","DFW","ATL",88,731,7,9,2020-01-02 07:00:00,"DFW_ATL"
2020,1,2,809,805,4,1108,1109,-1,"DL",589,"N922DX","DFW","ATL",100,731,8,5,2020-01-02 08:00:00,"DFW_ATL"
2020,1,2,841,839,2,1140,1143,-3,"AA",466,"N831AW","DFW","ATL",92,731,8,39,2020-01-02 08:00:00,"DFW_ATL"
2020,1,2,921,915,6,1204,1220,-16,"WN",905,"N7743B","DAL","ATL",86,721,9,15,2020-01-02 09:00:00,"DAL_ATL"
2020,1,2,947,945,2,1232,1242,-10,"DL",417,"N348DN","DFW","ATL",88,731,9,45,2020-01-02 09:00:00,"DFW_ATL"
2020,1,2,1015,1020,-5,1310,1323,-13,"AA",441,"N918AN","DFW","ATL",88,731,10,20,2020-01-02 10:00:00,"DFW_ATL"
2020,1,2,1103,1105,-2,1401,1411,-10,"DL",802,"N312US","DFW","ATL",91,731,11,5,2020-01-02 11:00:00,"DFW_ATL"
2020,1,2,1124,1120,4,1425,1420,5,"DL",285,"N988AT","DAL","ATL",89,721,11,20,2020-01-02 11:00:00,"DAL_ATL"
2020,1,2,1232,1236,-4,1531,1543,-12,"AA",792,"N916NN","DFW","ATL",89,731,12,36,2020-01-02 12:00:00,"DFW_ATL"
2020,1,2,1326,1308,18,1621,1604,17,"DL",775,"N368NW","DFW","ATL",91,731,13,8,2020-01-02 13:00:00,"DFW_ATL"
2020,1,2,1327,1335,-8,1616,1640,-24,"WN",901,"N213WN","DAL","ATL",89,721,13,35,2020-01-02 13:00:00,"DAL_ATL"
