"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2021,6,1,527,530,-3,903,919,-16,"NK",685,"N682NK","DFW","FLL",136,1119,5,30,2021-06-01 05:00:00
2021,6,1,538,540,-2,632,700,-28,"AA",883,"N753AN","DFW","LAX",154,1235,5,40,2021-06-01 05:00:00
2021,6,1,552,545,7,736,739,-3,"DL",378,"N368NW","DFW","SLC",145,989,5,45,2021-06-01 05:00:00
2021,6,1,554,600,-6,652,702,-10,"UA",373,"N467UA","DFW","DEN",92,641,6,0,2021-06-01 06:00:00
2021,6,1,555,555,0,923,929,-6,"DL",408,"N104DU","DFW","DTW",120,986,5,55,2021-06-01 05:00:00
2021,6,1,600,600,0,715,730,-15,"WN",218,"N956WN","DAL","MSY",61,436,6,0,2021-06-01 06:00:00
2021,6,1,601,600,1,943,1000,-17,"WN",778,"N8600F","DAL","BWI",142,1209,6,0,2021-06-01 06:00:00
2021,6,1,601,600,1,1019,1039,-20,"DL",538,"N136DQ","DFW","JFK",177,1391,6,0,2021-06-01 06:00:00
2021,6,1,601,600,1,857,911,-14,"DL",586,"N346DN","DFW","ATL",94,731,6,0,2021-06-01 06:00:00
2021,6,1,602,600,2,658,715,-17,"WN",577,"N464WN","DAL","HOU",41,239,6,0,2021-06-01 06:00:00
2021,6,1,602,600,2,639,700,-21,"WN",336,"N8316H","DAL","LAS",142,1067,6,0,2021-06-01 06:00:00
2021,6,1,607,610,-3,655,715,-20,"WN",160,"N564WN","DAL","AUS",34,189,6,10,2021-06-01 06:00:00
2021,6,1,613,615,-2,711,730,-19,"WN",91,"N562WN","DAL","IAH",39,216,6,15,2021-06-01 06:00:00
2021,6,1,614,615,-1,732,750,-18,"WN",172,"N462WN","DAL","MCI",60,461,6,15,2021-06-01 06:00:00
2021,6,1,614,615,-1,711,730,-19,"WN",621,"N7865A","DAL","SAT",45,247,6,15,2021-06-01 06:00:00
2021,6,1,616,610,6,939,945,-6,"WN",697,"N709SW","DAL","MCO",130,973,6,10,2021-06-01 06:00:00
2021,6,1,618,620,-2,831,849,-18,"AA",560,"N989AU","DFW","ORD",106,801,6,20,2021-06-01 06:00:00
2021,6,1,620,615,5,746,805,-19,"WN",192,"N8501V","DAL","STL",70,546,6,15,2021-06-01 06:00:00
2021,6,1,628,625,3,647,710,-23,"WN",182,"N408WN","DAL","PHX",127,879,6,25,2021-06-01 06:00:00
2021,6,1,633,630,3,729,759,-30,"NK",348,"N618NK","DFW","LAX",161,1235,6,30,2021-06-01 06:00:00
2021,6,1,636,637,-1,717,728,-11,"NK",1076,"N641NK","DFW","LAS",143,1055,6,37,2021-06-01 06:00:00
2021,6,1,637,600,37,1013,947,26,"AA",910,"N921US","DFW","MIA",140,1121,6,0,2021-06-01 06:00:00
2021,6,1,643,600,43,727,710,17,"WN",165,"N8619F","DAL","DEN",91,651,6,0,2021-06-01 06:00:00
2021,6,1,651,655,-4,1024,1030,-6,"NK",1083,"N934NK","DFW","MCO",125,985,6,55,2021-06-01 06:00:00
2021,6,1,656,700,-4,725,735,-10,"AA",136,"N910AU","DFW","PHX",129,868,7,0,2021-06-01 07:00:00
2021,6,1,657,700,-3,803,813,-10,"YV",1951,"N86372","DFW","IAH",41,224,7,0,2021-06-01 07:00:00
2021,6,1,658,700,-2,900,940,-40,"WN",383,"N217JC","DAL","ORD",105,798,7,0,2021-06-01 07:00:00
2021,6,1,659,700,-1,955,1002,-7,"DL",445,"N929AT","DAL","ATL",93,721,7,0,2021-06-01 07:00:00
2021,6,1,700,700,0,951,1005,-14,"WN",92,"N8658A","DAL","ATL",96,721,7,0,2021-06-01 07:00:00
2021,6,1,700,700,0,758,810,-12,"WN",1,"N8551Q","DAL","HOU",41,239,7,0,2021-06-01 07:00:00
2021,6,1,700,2100,600,835,2237,598,"YV",1902,"N246LR","DFW","MFE",75,469,21,0,2021-06-01 21:00:00
2021,6,1,701,700,1,854,915,-21,"WN",176,"N8693A","DAL","MDW",101,793,7,0,2021-06-01 07:00:00
2021,6,1,702,700,2,802,826,-24,"AA",168,"N120EE","DFW","LAX",159,1235,7,0,2021-06-01 07:00:00
2021,6,1,705,700,5,1035,1025,10,"WN",744,"N7841A","DAL","TPA",134,917,7,0,2021-06-01 07:00:00
2021,6,1,710,710,0,1100,1058,2,"AA",832,"N339SU","DFW","MIA",141,1121,7,10,2021-06-01 07:00:00
2021,6,1,710,710,0,1005,1022,-17,"DL",589,"N119DN","DFW","ATL",92,731,7,10,2021-06-01 07:00:00
2021,6,1,713,715,-2,928,944,-16,"DL",592,"N376DN","DFW","MSP",107,852,7,15,2021-06-01 07:00:00
2021,6,1,716,720,-4,938,943,-5,"UA",255,"N77537","DFW","ORD",109,801,7,20,2021-06-01 07:00:00
