"origin","year","month","day","hour","temp","dewp","humid","wind_dir","wind_speed","wind_gust","precip","pressure","visib","time_hour"
"DFW",2021,6,1,0,NA,NA,NA,110,5.7539,6.621473042,0.02,NA,6,2021-06-01 00:00:00
"DFW",2021,6,1,1,NA,NA,NA,110,2.30156,2.6485892168,0.01,NA,10,2021-06-01 01:00:00
"DFW",2021,6,1,2,NA,NA,NA,NA,21.86482,25.1615975596,NA,NA,10,2021-06-01 02:00:00
"DFW",2021,6,1,3,NA,NA,NA,40,2.30156,2.6485892168,NA,NA,10,2021-06-01 03:00:00
"DFW",2021,6,1,4,NA,NA,NA,350,5.7539,6.621473042,NA,NA,10,2021-06-01 04:00:00
"DFW",2021,6,1,5,NA,NA,NA,350,2.30156,2.6485892168,NA,NA,10,2021-06-01 05:00:00
"DFW",2021,6,1,6,NA,NA,NA,0,0,0,NA,NA,10,2021-06-01 06:00:00
"DFW",2021,6,1,7,NA,NA,NA,300,9.20624,10.5943568672,0.02,NA,5,2021-06-01 07:00:00
"DFW",2021,6,1,8,NA,NA,NA,320,5.7539,6.621473042,NA,NA,10,2021-06-01 08:00:00
"DFW",2021,6,1,9,NA,NA,NA,0,0,0,NA,NA,10,2021-06-01 09:00:00
"DFW",2021,6,1,10,NA,NA,NA,320,5.7539,6.621473042,NA,NA,10,2021-06-01 10:00:00
"DFW",2021,6,1,11,NA,NA,NA,320,4.60312,5.2971784336,NA,NA,10,2021-06-01 11:00:00
"DFW",2021,6,1,12,NA,NA,NA,330,12.65858,14.5672406924,NA,NA,10,2021-06-01 12:00:00
"DFW",2021,6,1,13,NA,NA,NA,330,14.96014,17.2158299092,NA,NA,10,2021-06-01 13:00:00
"DFW",2021,6,1,14,NA,NA,NA,340,10.35702,11.9186514756,NA,NA,10,2021-06-01 14:00:00
"DFW",2021,6,1,15,NA,NA,NA,330,9.20624,10.5943568672,NA,NA,10,2021-06-01 15:00:00
"DFW",2021,6,1,16,NA,NA,NA,310,11.5078,13.242946084,NA,NA,10,2021-06-01 16:00:00
"DFW",2021,6,1,17,NA,NA,NA,290,12.65858,14.5672406924,NA,NA,10,2021-06-01 17:00:00
"DFW",2021,6,1,18,NA,NA,NA,330,16.11092,18.5401245176,NA,NA,10,2021-06-01 18:00:00
"DFW",2021,6,1,19,NA,NA,NA,310,11.5078,13.242946084,NA,NA,10,2021-06-01 19:00:00
"DFW",2021,6,1,20,NA,NA,NA,320,11.5078,13.242946084,NA,NA,10,2021-06-01 20:00:00
"DFW",2021,6,1,21,NA,NA,NA,340,12.65858,14.5672406924,NA,NA,10,2021-06-01 21:00:00
"DFW",2021,6,1,22,NA,NA,NA,320,5.7539,6.621473042,NA,NA,10,2021-06-01 22:00:00
"DFW",2021,6,1,23,NA,NA,NA,320,5.7539,6.621473042,NA,NA,10,2021-06-01 23:00:00
"DFW",2021,6,2,0,NA,NA,NA,340,8.05546,9.2700622588,NA,NA,10,2021-06-02 00:00:00
"DFW",2021,6,2,1,NA,NA,NA,0,0,0,NA,NA,10,2021-06-02 01:00:00
"DFW",2021,6,2,2,NA,NA,NA,0,0,0,NA,NA,10,2021-06-02 02:00:00
"DFW",2021,6,2,3,NA,NA,NA,50,2.30156,2.6485892168,NA,NA,10,2021-06-02 03:00:00
"DFW",2021,6,2,4,NA,NA,NA,50,4.60312,5.2971784336,NA,NA,10,2021-06-02 04:00:00
"DFW",2021,6,2,5,NA,NA,NA,10,5.7539,6.621473042,NA,NA,10,2021-06-02 05:00:00
"DFW",2021,6,2,6,NA,NA,NA,340,5.7539,6.621473042,NA,NA,10,2021-06-02 06:00:00
"DFW",2021,6,2,7,NA,NA,NA,280,4.60312,5.2971784336,NA,NA,10,2021-06-02 07:00:00
"DFW",2021,6,2,8,NA,NA,NA,270,5.7539,6.621473042,NA,NA,10,2021-06-02 08:00:00
"DFW",2021,6,2,9,NA,NA,NA,280,5.7539,6.621473042,NA,NA,10,2021-06-02 09:00:00
"DFW",2021,6,2,10,NA,NA,NA,320,2.30156,2.6485892168,NA,NA,10,2021-06-02 10:00:00
"DFW",2021,6,2,11,NA,NA,NA,0,0,0,NA,NA,10,2021-06-02 11:00:00
"DFW",2021,6,2,12,NA,NA,NA,340,4.60312,5.2971784336,NA,NA,10,2021-06-02 12:00:00
"DFW",2021,6,2,13,NA,NA,NA,330,5.7539,6.621473042,NA,NA,10,2021-06-02 13:00:00
